№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru,Description_kor,Description_jpn,Description_zho,Description_rus
119,1,Байгалийн үзэсгэлэнт газар,Харгал нуур,Khargal Lake,Булган,Bulgan,Тэшиг,Teshik,49.92636,102.75219,Тэшиг сумын төвөөс зүүн зүгт 6 км зайд оршино.,It is located 6 km east of the center of Teshig soum.,https://www.dropbox.com/scl/fi/lzgms87dajpyli4dbb15u/.jpg?rlkey=p6dud9lbu9y56dtxvcctn6ea0&raw=1,카르갈 호수,ハルガル湖,哈加尔湖,Озеро Харгал,테시그 솜(Teshig soum) 중심에서 동쪽으로 6km 떨어져 있습니다.,テシグ・ソムの中心部から東に6kmに位置しています。,它位于Teshig soum中心以东6公里处。,Расположен в 6 км к востоку от центра сомона Тешиг.
120,2,Байгалийн үзэсгэлэнт газар,Хөгнө тарнын хийд,Khugnu Tarna Monastery,Булган,Bulgan,Гурванбулаг,Gurvanbulag,47.47681,103.65015, Хөгнө-Тарна байгалийн цогцолборт газар нь 84390 га талбайтай. Хөгнөхаан уул нь Богд хаант монгол улсын үед төр шашины холбогдолтойгоор тахин шүтэж ирсэн дөрвөн хан уулын нэг нь байжээ.,"Khognuh-Tarna National Park covers an area of ​​84,390 hectares. Khognuh Khan Mountain was one of the four Khan Mountains that were worshipped as state and religious monuments during the Bogd Khanate Mongol Empire.",https://www.dropbox.com/scl/fi/b0ucti2r3fk796eh8t9b3/.jpg?rlkey=m6u2g411e66i9r92mfixsiusj&raw=1,쿠그누 수도원,クグヌ僧院,库格努寺,Монастырь Хугну Тарна,"Khognuh-Tarna 국립공원은 84,390헥타르의 면적을 차지합니다. 호그누 칸 산(Khognuh Khan Mountain)은 몽골 복드 칸국 시대에 국가 및 종교 기념물로 숭배되었던 4개의 칸 산 중 하나였습니다.","コグヌー・タルナ国立公園の面積は 84,390 ヘクタールです。ホグヌー カーン山は、ボグド ハン国モンゴル帝国時代に国家および宗教的記念碑として崇拝されていた 4 つのカーン山の 1 つです。","Khognuh-Tarna国家公园占地84,390公顷。空奴汗山是博格特汗国蒙古帝国时期被视为国家和宗教古迹的四座可汗山之一。","Национальный парк Хогнух-Тарна занимает площадь 84 390 га. Гора Хогнух-хан была одной из четырех ханских гор, которым поклонялись как государственным и религиозным памятникам во времена Монгольской империи Богдийского ханства."
121,2,Түүхийн дурсгалт газар,Цогтын цагаан балгас,Tsogt White Ruin,Булган,Bulgan,Дашинчилэн,Dashinchilen,48.02351,104.35167,"Дашинчилэн сумын төвөөс зүүн хойд зүгт 33 км, Чин толгойн балгаснаас 20 км зайтай оршино.",It is located 33 km northeast of the center of Dashinchilen soum and 20 km from the Chin Tolgoi ruins.,https://www.dropbox.com/scl/fi/ofetdw1iqkp53pd0ie3cu/.jpg?rlkey=e8aobii953s2d1d1tve9z8tu6&raw=1,초그트 화이트 루인,ツォグトの白い遺跡,措格特白色废墟,Цогт Белые Руины,"Dashinchilen soum 중심에서 북동쪽으로 33km, Chin Tolgoi 유적에서 20km 떨어져 있습니다.",ダシンチレン ソムの中心部から北東 33 km、チン トルゴイ遺跡から 20 km に位置しています。,它位于Dashinchilen soum中心东北33公里处，距钦陶勒盖遗址20公里。,Он расположен в 33 км к северо-востоку от центра сомона Дашинчилен и в 20 км от руин Чин Толгой.
122,2,Түүхийн дурсгалт газар,Чин толгойн балгас,Chin Tolgoi Ruin,Булган,Bulgan,Дашинчилэн,Dashinchilen,47.87548,104.2421, Энд эртний гэрэлт хөшөөний суурь хоёр том чулуун мэлхий бий бөгөөд олдсон зарим дээврийн ваар нь кидан бичигтэй байжээ.,"There are two large stone frogs at the base of an ancient light statue here, and some of the roof vases found had Khitan writing.",https://www.dropbox.com/scl/fi/ojllic414cms7eiwtu36i/.jpg?rlkey=daq09ga3oz9227yrnj3g5a9g7&raw=1,친 톨고이 유적지,チントルゴイ遺跡,钦陶勒盖遗址,Чин Толгой Руины,"이곳의 고대 등불 조각상 아래에는 커다란 돌개구리 두 마리가 있고, 발견된 지붕 꽃병 중 일부에는 키탄 글씨가 적혀 있었습니다.",ここには古代の光の像の根元に大きな石のカエルが 2 匹あり、見つかった屋根の花瓶のいくつかには契丹語が書かれていました。,这里一座古代灯像的底座上有两只大石蛙，一些屋顶花瓶上有契丹文字。,"У основания древней легкой статуи здесь находятся две большие каменные лягушки, а на некоторых найденных вазах на крыше имеется киданьское письмо."
123,1,Байгалийн үзэсгэлэнт газар,Шарга нуур,Sharga Lake,Булган,Bulgan,Баян-Агт,Bayan-Agt,48.92894,101.95227,Шарга сумын төвөөс байруун өмнө зүгт 20 км зайтай оршино.,It is located 20 km south of the center of Sharga soum.,https://www.dropbox.com/scl/fi/n5htuwexkaynac3k6vxgz/.jpg?rlkey=ocppuv61tclwgguzs39csu3ql&raw=1,샤가 호수,シャルガ湖,夏尔加湖,Озеро Шарга,샤르가 숨(Sharga soum) 중심에서 남쪽으로 20km 떨어져 있습니다.,シャルガ スームの中心部から南に 20 km に位置します。,它位于Sharga soum中心以南20公里处。,Он расположен в 20 км к югу от центра сомона Шарга.
124,2,Түүхийн дурсгалт газар,Шивээт улаан Булган,Shiveet Ulaan ,Булган,Bulgan,Баян-Агт,Bayan-Agt,48.79829,102.00501,Түрэгийн Хожуу үеийн (690-744) Элетрес Хутлуга хааны дурсгал ,Monument to the Late Turkic Dynasty (690-744) Khan Eletres Khutluga,https://www.dropbox.com/scl/fi/3pgqwrjl3hn1shh94linl/.jpg?rlkey=rxujgenaqmg7psohx8ht1t3wu&raw=1,쉬벳 울란,シベット・ウラン,什维特·乌兰,Шивит Улаан,후기 투르크 왕조 기념비(690-744) Khan Eletres Khutluga,テュルク朝後期 (690 ～ 744 年) カーン エレットレス クトルガの記念碑,晚期突厥王朝（690-744）可汗埃列特斯呼图鲁嘎纪念碑,Памятник позднетюркской династии (690-744) хану Элетресу Хутлуге
125,2,Түүхийн дурсгалт газар,Шороон бумбагар,Shoroon Bumbagar,Булган,Bulgan,Баяннуур,Bayannuur,47.95931,104.55622,"2012 онд малтлага судалгаа явуулж эртний нүүдэлчдийн язгууртны иж бүрэн бунхант булшийг илрүүлсэн билээ. Тус олдворыг Улаан хэрэмийн Шороон бумбагарын дурсгал хэмээн нэрлэсэн бөгөөд эртний нүүдэлчдийн урлагийн галерей бүхий 1500 жилийн настай нэн чухал олдвор юм. Бунханы барилга муудаж үйрээгүй, бат бөх хэвээрээ үлдсэн ба дотор талд нь хүн явахад чөлөөтэй, чулуун таазтай, хавтгай чулуугаар ханыг нь хийж бүтээсэн байсан.","In 2012, excavations uncovered a complete mausoleum of an ancient nomadic nobleman. The find, called the Red Wall's Shoroon Bumbagar Monument, is a 1,500-year-old, important artifact that contains a gallery of ancient nomadic art. The structure of the tomb is intact, intact, and free for people to walk around inside, with a stone ceiling and flat stone walls.",https://www.dropbox.com/scl/fi/7yp2dsg9cqy2fzuahvkl7/.jpg?rlkey=7ian3e8gdetjn4bowbz1m0vq5&raw=1,쇼룬 범바가르,ショルーン・ブンバガー,肖伦·邦巴加尔,Шорон Бумбагар,"2012년 발굴 작업을 통해 고대 유목민 귀족의 완전한 무덤이 발견되었습니다. 레드 월(Red Wall)의 쇼룬 붐바가르 기념비(Shoroon Bumbagar Monument)라고 불리는 이 발견은 고대 유목 예술 갤러리를 포함하는 1,500년 된 중요한 유물입니다. 무덤의 구조는 온전하고 온전하며 돌천장과 평평한 돌담으로 내부를 자유롭게 돌아다닐 수 있다.","2012 年の発掘調査により、古代の遊牧貴族の完全な霊廟が発見されました。この発見物は「レッド・ウォールのショルーン・ブンバガール記念碑」と呼ばれ、1,500年前の重要な遺物で、古代遊牧民芸術のギャラリーが収められている。墓の構造はそのままの状態で残されており、石の天井と平らな石の壁で人々が内部を自由に歩き回ることができます。","2012年，考古发掘发现了一座完整的古代游牧贵族陵墓。这一发现被称为红墙的肖隆·邦巴加尔纪念碑 (Shoroon Bumbagar Monument)，是一座拥有 1,500 年历史的重要文物，其中包含古代游牧艺术的画廊。墓室结构完好，保存完好，内部可自由走动，石质顶棚，平坦的石墙。","В 2012 году в ходе раскопок был обнаружен целый мавзолей древнего кочевого дворянина. Находка, названная «Памятник Шорону Бумбагару у Красной стены», представляет собой важный артефакт возрастом 1500 лет, содержащий галерею древнего искусства кочевников. Структура гробницы цела, нетронута и свободна для передвижения людей внутри, с каменным потолком и плоскими каменными стенами."
126,1,Байгалийн үзэсгэлэнт газар,Элсэн тасархай,Elsen Tasarkhai,Булган,Bulgan,Рашаант,Rashaant,47.33459,103.67783,Рашаант сумын төвөөс баруун зүгт 20 км зайтай оршино.,It is located 20 km west of the center of Rashaant soum.,https://www.dropbox.com/scl/fi/g8vz4xqd597s7e7atofvu/.jpg?rlkey=ybn7k61dyk7wdbuxppenl6zv4&raw=1,엘센 타사르하이,エルセン・タサルカイ,埃尔森·塔萨凯,Элсен Тасархай,라샤안트 솜(Rashaant Soum) 중심에서 서쪽으로 20km 떨어져 있습니다.,ラシャーント・スームの中心部から西​​に20kmに位置しています。,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,Он расположен в 20 км к западу от центра Рашаант Сум.
127,3,Шашны дурсгалт газар,Эрдэнэ хамбын хийдийн туурь,Erdene Khamba Monastery Ruin,Булган,Bulgan,Рашаант,Rashaant,47.42575,103.69313, 1612 онд Монголын лам Эрдэнэ Цоржид зориулан байгуулагдсан бөгөөд 1937 онд коммунист дэглэмийн үед устгагдсан. ,It was founded in 1612 for the Mongolian monk Erdene Tsorji and was destroyed in 1937 during the communist regime.,https://www.dropbox.com/scl/fi/4rkz17bos5w5e7s16azje/.jpg?rlkey=hn412pk5ot3sp90sqk1m5taa6&raw=1,에르데네 캄바 수도원 유적,エルデネ カンバ修道院跡,额尔德尼康巴寺遗址,Руины монастыря Эрдэнэ Хамба,1612년 몽골 승려 에르데네 초르지(Erdene Tsorji)를 위해 설립되었으며 1937년 공산주의 정권 때 파괴되었습니다.,この寺院は 1612 年にモンゴル人の僧侶エルデネ ツォルジのために設立されましたが、共産主義政権下の 1937 年に破壊されました。,它于 1612 年为蒙古僧人额尔德尼措吉 (Erdene Tsorji) 创建，并于 1937 年共产党政权期间被毁。,Он был основан в 1612 году для монгольского монаха Эрдэнэ Цоржи и разрушен в 1937 году во время коммунистического режима.
128,2,Түүхийн дурсгалт газар,Магсаржав баатрын дусрсгал ,A symbol of heroism Magsarjav hero,Булган,Bulgan,Хутаг-Өндөр,Khutag-Undur,49.39162,102.80444,Хутаг-Өндөр сумын төвөөс зүүн зүгт 6 км зайтай байна. ,,https://www.dropbox.com/scl/fi/4sjuldtciyj9b4gd2ug5h/.jpg?rlkey=azdx1pzhbenr42c3l3apqgok0&raw=1,영웅 막사르자브의 상징,英雄マグサルジャヴの象徴,英雄马格萨尔扎夫的象征,Символ героизма героя Магсарджава.,,,,
129,1,Байгалийн үзэсгэлэнт газар,Бүрэнхаан уул (2008м) Булган,Burenkhaan Mountain Bulgan (2008m),Булган,Bulgan,Хишиг-Өндөр,Khishig-Undur,48.4006,103.44724,Хишиг-Өндөр сумын төвөөс хойд зүгт 10 км зайтай орших далайн түвшнээс дээр 2008 метр өндөрт оршино. ,It is located 10 km north of the center of Khishig-Ondur soum at an altitude of 2008 meters above sea level.,https://www.dropbox.com/scl/fi/xr0kqiac49v4zq9n8a5o0/.jpg?rlkey=i63hkz95v4dd61329tl9yvgl3&raw=1,부렌칸 산,ブレンカーン山,布伦坎山,Гора Буренхаан,Khishig-Ondur soum 중심에서 북쪽으로 10km 떨어진 해발 2008m 높이에 위치해 있습니다.,キシグ・オンドゥル・ソムの中心部から北に10km、標高2008メートルに位置しています。,它位于Khishig-Ondur soum中心以北10公里处，海拔2008米。,Он расположен в 10 км к северу от центра сомона Хишиг-Ондур на высоте 2008 метров над уровнем моря.
130,1,Байгалийн үзэсгэлэнт газар,Сэлэнгэ мөрөн,Selenge River,Булган,Bulgan,Сэлэнгэ,"Bayan-Agt, Khutag-Undur, Selenge",49.67404,104.64154,"Сэлэнгэ мөрний нийт урт 1024 километр, түүнээс 615 км нь тус улсын нутагт байна.  Дэлгэр, Идэр, Хануй, Эг, Орхон зэрэг голууд цутгана.","The total length of the Selenge River is 1,024 kilometers, of which 615 kilometers are within the country. It is drained by the Delger, Ider, Khanuy, Eg, and Orkhon rivers.",https://www.dropbox.com/scl/fi/vv9yab2cm86fygpt82j2x/.jpg?rlkey=nw7q3htse78t2lq432q758jmc&raw=1,셀렝가 강,セレンガ川,色楞格河,Река Селенга,"셀렝게강의 총 길이는 1,024km이며, 그 중 615km가 국내에 속한다. Delger, Ider, Khanuy, Eg 및 Orkhon 강에서 배수됩니다.","セレンゲ川の全長は 1,024 キロメートルで、そのうち 615 キロメートルが国内にあります。デルガー川、イデル川、カヌイ川、エグ川、オルホン川によって排水されています。",色楞格河全长1024公里，其中境内615公里。其水源包括德尔格河、伊德尔河、哈努伊河、埃格河和鄂尔浑河。,"Общая длина реки Селенги составляет 1024 километра, из них 615 километров приходится на территорию страны. Его дренируют реки Дэлгер, Идер, Хануй, Эг, Орхон."
131,2,Түүхийн дурсгалт газар,Аав хөшөө,Father Statue,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.32763,97.88825,Чандмань сумын төвөөс баруун зүгт 8 км зайтай Ботгон голын эрэгт оршино. ,"It is located on the banks of the Botgon River, 8 km west of the center of Chandman soum.",https://www.dropbox.com/scl/fi/n8i9o1p9vtfr02tfun518/.jpg?rlkey=32h8kxlkwq0i1fxkszx0zov07&raw=1,아버지 동상,父の像,父亲雕像,Статуя отца,Chandman soum 중심에서 서쪽으로 8km 떨어진 Botgon 강 유역에 위치하고 있습니다.,チャンドマン スームの中心部から西​​に 8 km、ボトゴン川のほとりに位置しています。,它位于 Botgon 河岸，距 Chandman soum 中心以西 8 公里。,"Он расположен на берегу реки Ботгон, в 8 км к западу от центра сума Чандман."
132,1,Байгалийн үзэсгэлэнт газар,Аж богдын уул (3802м),Аj Bogd Mountain (3802m),Говь-Алтай,Govi-Altai,Алтай,Altai,44.80211,95.23946,"Монгол Алтайн нурууны салбар уул бөгөөд хамгийн өндөр оргил нь Хүрэн товон далайн төвшнөөс дээш 3802 метр өндөр. Аж богдын нурууны өврөөс Индэр, Гишүүнтэй, Их гол, ар талаас нь Урт, Дөрөлжийн голууд эх аван урсдаг. ","It is a branch of the Mongolian Altai Mountains, and its highest peak is Khuren Tovon, which is 3,802 meters above sea level. The Inder, Gishuuntei, and Ikh rivers originate from the foot of the Ajbogd Range, and the Urt and Dorolji rivers flow from the rear.",https://www.dropbox.com/scl/fi/huxms6djl5izsqd4krb35/.jpg?rlkey=rykzetusxdffo3khs2jtetnsw&raw=1,Аj 복드 산,Аj ボグド山,阿吉·博格德山,Ай Богд Гора,"몽골 알타이 산맥의 지류이며 최고봉은 쿠렌토본(Khuren Tovon)으로 해발 3,802m이다. Inder 강, Gishuuntei 강, Ikh 강은 Ajbogd 산맥 기슭에서 발원하고 뒤쪽에서는 Urt 강과 Dorolji 강이 흐릅니다.","モンゴルのアルタイ山脈の支脈であり、最高峰は標高3,802メートルのクーレン・トヴォンです。インデル川、ギシュンテイ川、イフ川はアジボグド山脈の麓から源を発し、ウルト川とドロルジ川が後部から流れています。",它是蒙古阿尔泰山脉的一支，最高峰呼伦托翁，海拔3802米。因德尔河、吉舒恩泰河和伊赫河发源于阿杰博格德山脉脚下，乌尔特河和多罗尔吉河从后方流过。,"Это ответвление гор Монгольского Алтая, а его самая высокая вершина — Хурен Товон, высота которой составляет 3802 метра над уровнем моря. Реки Индер, Гишуунтей, Их берут начало у подножия хребта Айбогд, а реки Урт и Доролджи текут с тыла."
133,1,Байгалийн үзэсгэлэнт газар,Алаг хайрхан уул(3738м),Alag Khairkhan Mountain (3738m),Говь-Алтай,Govi-Altai,Бугат,Bugat,45.57154,94.11714,Бугат сумын төвөөс 30 км зайтай далайн түвшнээс дээш 3738 метр өргөгдөн оршино. ,"It is located 3738 meters above sea level, 30 km from the center of Bugat soum.",https://www.dropbox.com/scl/fi/gduc2yhvttisxoih1oqz9/.jpg?rlkey=qolbrewxjrbs4s5liv7t8zafq&raw=1,알라그 카이르칸 산,アラグ・カイルカン山,阿拉格凯尔汗山,Гора Алаг Хайрхан,"해발 3738m, 부가솜 중심에서 30km 떨어져 있다.",ブガット ソムの中心部から 30 km、海抜 3738 メートルに位置しています。,它海拔3738米，距离布加特苏姆市中心30公里。,"It is located 3738 meters above sea level, 30 km from the center of Bugat soum."
134,2,Түүхийн дурсгалт газар,Кристиан Освальдын хөшөө,Monument for Christian Oswald,Говь-Алтай,Govi-Altai,Бугат,Bugat,45.5391,93.62717,Тахийн талд тахийг дахин нутагшуулах ажлыг санаачилсан Кристиан Освальдын дурсгалд зориулсан хөшөө.хөшөө,"A monument to Christian Oswald, who initiated the reintroduction of the tahi in the tahi valley.",https://www.dropbox.com/scl/fi/6n6c24op77ho5cjgdzn19/.jpg?rlkey=00wmp5ibovikt7p0kfvbs1jmk&raw=1,크리스티안 오스왈드를 위한 기념비,クリスチャン・オズワルドの記念碑,克里斯蒂安·奥斯瓦尔德纪念碑,Памятник Кристиану Освальду,타히 계곡에 타히의 재도입을 시작한 크리스티안 오스왈드(Christian Oswald)를 기리는 기념비입니다.,タヒ渓谷へのタヒの再導入を始めたクリスチャン・オズワルドの記念碑。,克里斯蒂安·奥斯瓦尔德 (Christian Oswald) 的纪念碑，他发起了在塔希谷重新引入塔希族的活动。,"A monument to Christian Oswald, who initiated the reintroduction of the tahi in the tahi valley."
135,3,Шашны дурсгалт газар,Арын хүрээний туурь,Aryn Monastery Ruin,Говь-Алтай,Govi-Altai,Жаргалан,Jargalant,46.85744,95.72878,Жаргалан сумын төвөөс баруун урд  зүгт 25 км зайтай оршино.,It is located 25 km southwest of the center of Jargalan soum.,https://www.dropbox.com/scl/fi/cvzw0c7wn8sw8wcb5g7wk/.jpg?rlkey=rfp2cxic02wvsasg57wuz4ge7&raw=1,아린 수도원 폐허,アリン修道院跡,阿林修道院遗址,Руины монастыря Арын,자르갈란 숨(Jargalan soum) 중심에서 남서쪽으로 25km 떨어져 있습니다.,ジャルガラン ソムの中心部から南西 25 km に位置します。,它位于贾尔加兰苏姆中心西南25公里处。,Он расположен в 25 км к юго-западу от центра сомона Жаргалан.
136,1,Байгалийн үзэсгэлэнт газар,Бигэр нуур,Biger Lake,Говь-Алтай,Govi-Altai,Бигэр,Biger,45.76243,97.17836,Бигэр сумын төвөөс хойд зүгт 4 км зайтай оршино.,It is located 4 km north of the center of Biger soum.,https://www.dropbox.com/scl/fi/rjxmduealwpnd9tkztihc/.jpg?rlkey=h4f28mx29u33aiovcb7qb2wuv&raw=1,비거 호수,ビガー・レイク,更大的湖,Бигер-Лейк,비거솜(Biger soum) 중심에서 북쪽으로 4km 떨어져 있습니다.,ビガー スームの中心部から北に 4 km に位置します。,它位于比格苏姆中心以北4公里处。,Он расположен в 4 км к северу от центра Бигер-сума.
137,1,Байгалийн үзэсгэлэнт газар,Бурхан буудай уул (3765м),Burkhan Buudai Mountain (3765),Говь-Алтай,Govi-Altai,Цогт,Tsogt,45.67503,96.75017,"Говь-Алтай аймгийн Бигэр, Цогт, Халиун сумдын нутагт орших өвөрмөц үзэсгэлэнт тогтоц бүхий, ноён оргил нь далайн түвшнээс дээш 3765 мерт өргөгдсөн мөнх цастай уул байдаг. ","Located in the Biger, Tsogt, and Khaliun soums of Gobi-Altai aimag, there is a uniquely beautiful mountain with eternal snow, its highest peak rising 3,765 meters above sea level.",https://www.dropbox.com/scl/fi/4xjbshlht72zntwa4j96p/.jpg?rlkey=oiwzt4500i4tq8wwx64zrx2bu&raw=1,부르칸 부우다이 산,ブルカン・ブダイ山,布尔罕布戴山,Гора Бурхан Буудай,"고비알타이 아이막의 비거(Biger), 촉트(Tsogt), 칼리운 솜(Khaliun soums)에 위치한 이 산은 만년설이 내리는 독특하고 아름다운 산으로, 최고봉은 해발 3,765m이다.","ゴビアルタイアイマグのビガー、ツォグト、ハリウンの各スムに位置し、永遠の雪に覆われた独特の美しい山があり、その最高峰は海抜 3,765 メートルです。",位于戈壁-阿尔泰地区的比格尔、措格特、哈利伦苏木斯地区，有一座独特的美丽山峰，终年积雪，最高峰海拔3765米。,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
138,1,Байгалийн үзэсгэлэнт газар,Говийн их  дархан цаазат газар А,Great Gobi Strictly Protected Area A,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,43.252,97.44196,"Говийн Их Дархан Цаазат Газрын А хэсэг нь Монголын говь цөлийн экосистемийг хамгаалах, түүх, соёлын өвийг хадгалахад чухал үүрэгтэй, 4.6 сая га талбайг хамардаг.","Part A of the Gobi Desert is important for protecting the ecosystem of Mongolia's Gobi Desert and preserving its historical and cultural heritage, covering an area of ​​4.6 million hectares.",https://www.dropbox.com/scl/fi/fmkt2e448le4yj6bcuu1d/.jpg?rlkey=vfrzv3mxvk52u8lfi86twzvrk&raw=1,그레이트 고비 엄격 보호 구역 A,大ゴビ厳重保護区A,大戈壁严格保护区A,Строго охраняемая территория «Большая Гоби» А,고비사막 A부분은 몽골 고비사막의 생태계를 보호하고 역사문화유산을 보존하는 데 중요한 지역으로 460만 헥타르에 달한다.,ゴビ砂漠のAパートは、モンゴルのゴビ砂漠の生態系を保護し、その歴史的および文化的遺産を保存するために重要であり、460万ヘクタールの面積をカバーしています。,戈壁沙漠A部分对于保护蒙古戈壁沙漠生态系统和保存其历史文化遗产具有重要意义，面积达460万公顷。,"Часть А пустыни Гоби важна для защиты экосистемы пустыни Гоби в Монголии и сохранения ее исторического и культурного наследия, занимая площадь 4,6 миллиона гектаров."
139,2,Түүхийн дурсгалт газар,Гочоосүрэнгийн суварга,Gochoosuren Stupa,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.31666,97.85258,Чандмань сумын төвөөс баруун зүгт 11 км зайтай оршино.,It is located 11 km west of the center of Chandman soum.,https://www.dropbox.com/scl/fi/6odm7opnjenkaskepq4fq/.jpg?rlkey=8xnipbbf7cwhojm3zc4bxcg1s&raw=1,고초수렌 스투파,ごちょうおすれん仏塔,果乔苏伦佛塔,Ступа Гочоосурэн,Chandman soum 중심에서 서쪽으로 11km 떨어져 있습니다.,チャンドマン スームの中心部から西​​に 11 km に位置します。,它位于昌德曼苏姆市中心以西11公里处。,Он расположен в 11 км к западу от центра сума Чандман.
140,1,Байгалийн үзэсгэлэнт газар,Гэгээн нуур,Gegeen Lake,Говь-Алтай,Govi-Altai,Тайшир,Taishir,46.70391,96.76257,"Тайширын усан цахилгаан станцыг барих үед үүссэн 20 км урт, 10 км өргөн хиймэл нуур.","An artificial lake 20 km long and 10 km wide, created during the construction of the Taishir hydroelectric power station.",https://www.dropbox.com/scl/fi/whni0hpw3i3dxm2m12mib/.jpg?rlkey=diewfxq1sos897fi3gj9rfdw8&raw=1,게긴 호수,ゲジーン湖,格金湖,Озеро Геген,"타이시르 수력 발전소 건설 중에 만들어진 길이 20km, 폭 10km의 인공 호수입니다.",太白水力発電所の建設中にできた長さ20km、幅10kmの人造湖。,长20公里、宽10公里的人工湖，是泰希尔水电站建设过程中形成的。,"Искусственное озеро длиной 20 км и шириной 10 км, созданное при строительстве Тайширской ГЭС."
141,1,Байгалийн үзэсгэлэнт газар,Зоос хад,Coin rock,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.49216,98.23883,Чандмань сумын төвөөс зүүн хойд зүгт 42 км зайтай оршино.,It is located 42 km northeast of the center of Chandman soum.,https://www.dropbox.com/scl/fi/uaozt48snbbydnpde1z8p/.jpg?rlkey=i2smr4r7l5iu6n1bkngr952n5&raw=1,코인 락,コインロック,硬币岩石,Монетный камень,Chandman soum 중심에서 북동쪽으로 42km 떨어져 있습니다.,チャンドマン スームの中心部から北東 42 km に位置します。,它位于昌德曼苏姆中心东北42公里处。,Он расположен в 42 км к северо-востоку от центра сума Чандман.
142,1,Байгалийн үзэсгэлэнт газар,Ихэс нуур,Ikhes Lake,Говь-Алтай,Govi-Altai,Дарви,Darwi,46.46125,94.06104,Ихэс нуурын зүүн эрэг дээр  Дарви сумын төв байдаг.,The center of Darvi soum is located on the eastern shore of Lake Ihes.,https://www.dropbox.com/scl/fi/g5sasoa4qxhwp3knn6fsn/.jpg?rlkey=zf0ernu31ep8xhzr8xwfwukmm&raw=1,이케스 호수,イクシュ湖,伊克什湖,Озеро Ихес,Darvi soum의 중심은 Ihes 호수의 동쪽 해안에 위치하고 있습니다.,ダルヴィ スームの中心部はイヘス湖の東岸にあります。,达尔维苏姆的中心位于伊赫斯湖的东岸。,Центр сума Дарви расположен на восточном берегу озера Ихес.
143,1,Байгалийн үзэсгэлэнт газар,Шаргын говь,Shargyn Gobi,Говь-Алтай,Govi-Altai,Дарви,"Darwi, Tugrug, Sharga, Khaliun, Tonkhil",46.0429,94.94007,"Говь-Алтай аймгийн Дарви, Төгрөг, Шарга, Халиун, Тонхил сумдын нутгийг дамжин оршино.","It passes through the territories of Darvi, Togrug, Sharga, Khaliun, and Tonkhil soums of Gobi-Altai aimag. Save translation",https://www.dropbox.com/scl/fi/5nqedkbspdinzi2ug7nf5/.JPG?rlkey=snddujicw1rrmjaxqecbkeecx&raw=1,샤르긴 고비,シャーギン・ゴビ,沙尔根戈壁,Шаргин Гоби,"그것은 Gobi-Altai aimag의 Darvi, Togrug, Sharga, Khaliun 및 Tonkhil soum의 영토를 통과합니다. 번역 저장",ゴビアルタイアイマグのダルヴィ、トグルグ、シャルガ、ハリウン、トンキルの領土を通過します。翻訳を保存する,它经过戈壁-阿尔泰地区的达尔维、托古鲁、沙尔加、哈利伦和通基勒苏姆地区。保存翻译,"Проходит по территориям сумов Дарви, Тогруг, Шарга, Халиун и Тонхил Гоби-Алтайского аймака. Сохранить перевод"
144,1,Байгалийн үзэсгэлэнт газар,Мазаалайн ус,Mazaalain Us,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,43.25734,97.33213,Эрдэнэ сумын төвөөс урд зүгт 230 км зайд Говийн их дархан цаазат газарт байна. ,"It is located 230 km south of the center of Erdene soum, in the Gobi National Park.",https://www.dropbox.com/scl/fi/zhbc3xq2ggc7waxdlpyo0/.jpeg?rlkey=wk94zwdpxel1digcy5alkdvkz&raw=1,마잘라인 우리,マザライン・アス,马扎兰美国,Мазаалайн Ус,고비 국립공원의 에르덴 숨(Erdene soum) 중심에서 남쪽으로 230km 떨어져 있습니다.,ゴビ国立公園内のエルデネ ソムの中心部から南に 230 km に位置しています。,它位于额尔登苏姆中心以南230公里处，戈壁国家公园内。,"Он расположен в 230 км к югу от центра сума Эрдэнэ, на территории Гобинского национального парка."
145,1,Байгалийн үзэсгэлэнт газар,Монгол элс,Mongol Sand,Говь-Алтай,Govi-Altai,Хөхморьт,Khukhmorit,47.49862,95.07601,Хөх морьт сумын хойд талаар нийтдээ 215 гаруй км үргэлжилнэ.,The northern part of Khokh Morit soum extends for a total of more than 215 km.,https://www.dropbox.com/scl/fi/p68q92kruqqogxmqvq2xg/.jpg?rlkey=wjgac294x0sqnjo3899d2nlhd&raw=1,몽골 모래,モンゴルサンド,蒙古沙,Монгольский песок,Khokh Morit soum의 북부 부분은 총 215km 이상 뻗어 있습니다.,コーク モリット スームの北部は全長 215 km 以上に及びます。,Khokh Morit soum 北部总长度超过 215 公里。,Северная часть сума Хох Морит простирается в общей сложности более чем на 215 км.
