№,Point_type,Category,Category_eng,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Phone,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru
359,8,Хилийн боомт,Border_Crossing,Гашуун Сухайт хилийн боомт,Gashuun Sukhait Border Station,Өмнөговь,Omnogovi,Ханбогд,Khanbogd,42.41371,107.57012,,https://www.dropbox.com/scl/fi/ltkjcbnoomq5p9byjoxh9/.jpg?rlkey=gkw8bpx8l3qcnxkrfzqg218mt&raw=1,가슈운 수카이트 국경 검문소,ガシューン・スハイト国境駅,加舒恩苏海特边境站,Пограничный пункт Гашуун Сухайт
360,8,Хилийн боомт,Border_Crossing,Шивээ Хүрэнгийн хилийн боомт,Shivee Khuren Border Station,Өмнөговь,Omnogovi,Гурвантэс,Gurvantes,42.59093,101.28049,,https://www.dropbox.com/scl/fi/85fs3h0lni3gdji89elhk/.jpg?rlkey=l0nm8y706ed8pv2m5wbsag2n6&raw=1,시비 쿠렌 국경역,シヴェ・クレン国境駅,希维库伦边境站,Пограничный пункт Шивее Хурен
361,10,Шатахуун түгээх станц,Gas_Station,Сод Монгол ШТС,Sod Mongol Gas Station,Өмнөговь,Omnogovi,Цогт-Овоо,Tsogt-Ovoo,44.42163,105.32536,,https://www.dropbox.com/scl/fi/2l6bmcpup49kigmwm2kh6/1.jpeg?rlkey=phjvk1cwvlgpjsuxhocixluof&raw=1,소드 몽골 주유소,ソッドモンゴルガソリンスタンド,索德蒙古加油站,Автозаправочная станция Сод Монгол
362,7,Нисэх буудал,Airport,Гурван сайхан нисэх буудал,Gurvan saikhan airport,Өмнөговь,Omnogovi,Ханхонгор,Khankhongor,43.60501,104.37016,,https://www.dropbox.com/scl/fi/5ktynwd3gb8xepgjobulx/.jpg?rlkey=egma6kzxatkjx0kkornuvqb3o&raw=1,구르반 사이칸 공항,グルバンサイハン空港,古尔万·赛汗机场,Аэропорт Гурван Сайхан
363,1,Жуулчны бааз,Tourist_Camp,Гранд говь ресорт,Grand Gobi Resort,Өмнөговь,Omnogovi,Ханхонгор,Khankhongor,43.59744,104.29655,99052162,https://www.dropbox.com/scl/fi/ju9oa33n37hcitwwuxiwy/.jpeg?rlkey=ik554zm96qktki1uspz1wmrmn&raw=1,그랜드 고비 리조트,グランド ゴビ リゾート,大戈壁度假村,Гранд Гоби Курорт
364,1,Жуулчны бааз,Tourist_Camp,Говийн баян бүрд -1,Goviin Bayanburd-1,Өмнөговь,Omnogovi,Ханхонгор,Khankhongor,43.61621,104.32039,95953012,https://www.dropbox.com/scl/fi/2vd9xvkogjuscokvu5qyt/1.jpg?rlkey=4jknp0591gllrhwdbfxyy0q1i&raw=1,고빈 바얀부르드-1,ゴヴィン・バヤンブルド1,戈文·巴彦布尔德-1,Говиин Баянбурд-1
365,1,Жуулчны бааз,Tourist_Camp,Даймонд говь гэр кэмп,Daimond Gobi Ger Camp,Өмнөговь,Omnogovi,Сэврэй,Sevrei,43.61273,102.11667,99319534,https://www.dropbox.com/scl/fi/tkwoyri4ytshamyzzu2yp/.jpg?rlkey=t3crq2icoh66m6bnbbl0npsg4&raw=1,다이아몬드 고비 게르 캠프,ダイヤモンドゴビゲルキャンプ,钻石戈壁格尔营地,Гер-лагерь Даймонд Гоби
366,2,Амралтын газар,Resort,Шандын унага амралт,Shandyn Unaga Resort,Сүхбаатар,Sukhbaatar,Баруун урт,Baruun-Urt,46.69237,113.19629,99058799,https://www.dropbox.com/scl/fi/xo1nyv4kkw9s98toeiwfa/.jpg?rlkey=3mbnw5wr50al58bifd7s5vtiu&raw=1,샨딘 우나가 리조트,シャンディン ウナガ リゾート,尚丁乌纳加度假村,Шандын Унага Резорт
367,2,Амралтын газар,Resort,Дагшин булаг амралт,Dagshin Bulag Resort,Сүхбаатар,Sukhbaatar,Дарьганга,Dariganga,45.29176,113.84316,99292872,https://www.dropbox.com/scl/fi/raf12ckvydeljz8if5b5w/.jpg?rlkey=ydgso56s6ragffkr91vfllssu&raw=1,다그신 불라그 리조트,ダグシン ブラグ リゾート,达辛布拉格度假村,Курорт Дагшин Булаг
368,1,Жуулчны бааз,Tourist_Camp,Шилийн богд жуулчны бааз,Shiliin Bogd Tourist Camp,Сүхбаатар,Sukhbaatar,Дарьганга,Dariganga,45.48353,114.48627,91033140,https://www.dropbox.com/scl/fi/hraddhdcxxw1yy1bi4gyp/.jpg?rlkey=r9ujeyyzdjpxv6whjhayu302d&raw=1,스리인 복드 관광캠프,シーリイン ボグド ツーリスト キャンプ,士林博格德旅游营地,Туристическая база Шилиин Богд
369,10,Шатахуун түгээх станц,Gas_Station,Дашваанжил газ,Dashvaanjil Gas Fuel,Сүхбаатар,Sukhbaatar,Түмэнцогт,Tumentsogt,47.57721,112.33649,70003311,https://www.dropbox.com/scl/fi/13hg73ddjedul5zhh0fp0/.jpeg?rlkey=9nek63po5q73fo98arhtt4w0z&raw=1,다슈반질 가스 연료,ダシュヴァンジルガス燃料,达什瓦安吉尔燃气燃料,Газовое топливо Дашваанджил
370,8,Хилийн боомт,Border_Crossing,Бичигт хилийн  боомт,Bichigt Border Station,Сүхбаатар ,Sukhbaatar,Эрдэнэцагаан,Erdenetsagaan,45.76062,116.19621,,https://www.dropbox.com/scl/fi/xm6o5pvnp5koj2htcm98g/.jpg?rlkey=neusnm6c8827gy5fuhv2ia73k&raw=1,비치그트 국경역,ビチグト国境駅,比希格特边境站,Пограничный пункт Бичигт
371,2,Амралтын газар,Resort,Зүүнхараа амралт,Zuunkharaa Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.83191,106.50927,99390595,https://www.dropbox.com/scl/fi/h2iqwr99dthkda1913qhf/.jpg?rlkey=979mbj59p8sy25jw3xielhjg5&raw=1,준카라 리조트,ズンハラ リゾート,祖恩卡拉度假村,Курорт Зуунхараа
372,3,Рашаан сувилал,Spa_Resort,Ходоодны рашаан,Khodoodny Rashaan,Сэлэнгэ,Selenge,Мандал,Mandal,48.82672,106.56078,,,코두드니 라샨,コドゥドニー・ラシャーン,霍杜德尼·拉沙安,Ходудни Рашаан
373,2,Амралтын газар,Resort,Тарни амралт,Tarni Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.81601,106.78061,99506677,https://www.dropbox.com/scl/fi/q2d9d5qv0nd2pcifvq7ec/.jpg?rlkey=ukf9q87way0a7k8mstgqbilbx&raw=1,타르니 리조트,タルニ リゾート,塔尔尼度假村,Тарни Резорт
374,2,Амралтын газар,Resort,Бэрхийн амралт,Berh Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.80568,106.7956,,https://www.dropbox.com/scl/fi/uhgfnjj05izkfri7d8wiv/.jpg?rlkey=cm45gfwx7p6qk7iy9oq6nc31s&raw=1,베르 리조트,ベル リゾート,贝尔度假村,Берх Резорт
375,2,Амралтын газар,Resort,Арван шовгор амралт,Arvan Shovgor Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.80417,106.80007,99237251,https://www.dropbox.com/scl/fi/6x69bztgns8f657gvj3wa/.jpg?rlkey=9y7xe9ueji6ytz9o5todowj3v&raw=1,아르반 쇼브고르 리조트,アルヴァン ショブゴール リゾート,阿尔万修夫戈尔度假村,Арван Шовгор Резорт
376,1,Жуулчны бааз,Tourist_Camp,Тарни ривер лож,Tarni River Lodge,Сэлэнгэ,Selenge,Мандал,Mandal,48.8201,106.77652,72553988,https://www.dropbox.com/scl/fi/4t0048xpivo6w8m78rza1/.jpg?rlkey=y0aklzt18ox0fw2u92nui4qd0&raw=1,타니 리버 로지,タルニ リバー ロッジ,塔尔尼河旅馆,Тарни Ривер Лодж
377,2,Амралтын газар,Resort,Мичид амралт,Michid Camp,Сэлэнгэ,Selenge,Мандал,Mandal,48.88385,106.10478,96077021,https://www.dropbox.com/scl/fi/mf4ddzywuzy4uul8gbhl2/.jpg?rlkey=pxaqewa0txph6q8duyr20dk86&raw=1,미치드 캠프,ミシッドキャンプ,米奇德·坎普,Мичид Кэмп
378,1,Жуулчны бааз,Tourist_Camp,Ерөө лож,Yeruu Lodge,Сэлэнгэ,Selenge,Жавхлант,Javhlant,49.83226,106.3654,80807000,https://www.dropbox.com/scl/fi/68m8unn7n2vwbbdf5lwuz/.jpg?rlkey=oifubbi45e2852b7rwyomxhw4&raw=1,예루 로지,イェルー ロッジ,耶鲁旅馆,Йеруу Лодж
379,2,Амралтын газар,Resort,Номт амралт,Nomt Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.27649,106.30687,,,놈트 리조트,ノムト リゾート,诺姆特度假村,Номт Резорт
380,2,Амралтын газар,Resort,Нарлаг номт амралт,Narlag Nomt Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.27669,106.3111,99267410,https://www.dropbox.com/scl/fi/ehnvj1nkvts882ptovnjx/.jpg?rlkey=mt7m7ltvkg4b9rjyad7521o72&raw=1,날라그 놈트 리조트,ナーラグ ノムト リゾート,纳尔拉诺姆特度假村,Нарлаг Номт Резорт
381,2,Амралтын газар,Resort,Гоё сэлэнгэ амралт,Goyo Selenge Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.27514,106.30938,95522727,https://www.dropbox.com/scl/fi/i356ekkyis5hau8wm5zy1/.jpg?rlkey=mcur8fokp1vhkeu29nm8mdxqt&raw=1,고요 셀렝게 리조트,ゴヨ セレンゲ リゾート,戈约色楞格度假村,Гойо Селенге Резорт
382,2,Амралтын газар,Resort,Хан оргил амралт,Khan Orgil Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.2739,106.30938,99176465,https://www.dropbox.com/scl/fi/ee7lqwejzll2vi3ydgfqv/.jpg?rlkey=uegczmn2j9ehvfyskcf49h1fg&raw=1,칸 오르길 리조트,カーン オーギル リゾート,可汗奥吉尔度假村,Хан Оргил Резорт
383,2,Амралтын газар,Resort,Их монгол амралт,Ikh Mongol Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.27852,106.30317,,https://www.dropbox.com/scl/fi/2553dc72z035ft54b45fk/1.jpg?rlkey=eno7h955ziycvroxgf9awurvv&raw=1,익 몽고 리조트,イク モンゴル リゾート,伊克蒙古度假村,Их Монгол Резорт
384,2,Амралтын газар,Resort,Хилчин амралт,Khilchin Camp,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.26687,106.62328,,,킬친 캠프,キルチンキャンプ,希尔钦营地,Лагерь Хильчин
385,2,Амралтын газар,Resort,Гав хад амралт,Gav Khad,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.25986,106.6591,99946363,https://www.dropbox.com/scl/fi/1trljp38cxipdn3v58dgb/.png?rlkey=y52ytpvnw183bt1d0huj2n50h&raw=1,가브 카드,ガブ・カド,加夫·卡德,Гав Хад
386,1,Жуулчны бааз,Tourist_Camp,Хонд рашаан кэмп,Khond Rashaan Camp,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.19067,106.65698,,https://www.dropbox.com/scl/fi/xcnf8cndnr5x94gx426lb/.jpg?rlkey=q5115255kdtpe29duopyghy8h&raw=1,콘드 라샨 캠프,コンド・ラシャーン・キャンプ,孔德拉沙安营地,Лагерь Хонд Рашаан
387,2,Амралтын газар,Resort,Хонгор морьт амралт,Khongor Morit Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.29885,106.18509,95242459,https://www.dropbox.com/scl/fi/rqls34xwqiw1joh3cxqay/.jpg?rlkey=tdyldbfqrcr8xsptoimdhfyhh&raw=1,콩고르 모릿 리조트,ホンゴル モリット リゾート,孔戈尔莫里特度假村,Хонгор Морит Резорт
388,1,Жуулчны бааз,Tourist_Camp,Өргөн сэлэнгэ ресорт,Urgun Seleng Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.29091,106.15929,94239721,https://www.dropbox.com/scl/fi/adjneemoon8qjmafbv8df/.jpg?rlkey=ng22u14atjj59mos04441go1r&raw=1,우르군 셀렝 리조트,ウルグン セレン リゾート,乌尔古纳色楞度假村,Ургун Селенг Резорт
389,2,Амралтын газар,Resort,Гурван нарст амралт,Gurvan Narst Resort,Сэлэнгэ,Selenge,Алтанбулаг,Altanbulag,50.28598,106.15133,99815422,https://www.dropbox.com/scl/fi/4s81swrgzbwv0ubdsi7ax/.jpg?rlkey=f7y3wslaoczxl9pkk3y4h0524&raw=1,구르반 나스트 리조트,グルバン ナースト リゾート,古文纳斯特度假村,Гурван Нарст Резорт
390,1,Жуулчны бааз,Tourist_Camp,Ивэн кэмп,Iven Camp,Сэлэнгэ,Selenge,Баруунбүрэн,Baruunburen,49.47788,105.07207,88882045,https://www.dropbox.com/scl/fi/4frj49js5g0bnq0wcai9k/.jpg?rlkey=1qgfkb8s6exranm92ui3y98fm&raw=1,아이벤 캠프,イブン・キャンプ,伊文·坎普,Ивен Кэмп
391,1,Жуулчны бааз,Tourist_Camp,Иф тур кэмп амарбаясгалант,If Tour Amarbayasgalant,Сэлэнгэ,Selenge,Баруунбүрэн,Baruunburen,49.4827,105.07335,99189981,https://www.dropbox.com/scl/fi/nyufmms64x85x7rlsdvnz/.jpg?rlkey=b4z90wgmqfy1gjsvon2zwvvl8&raw=1,아마르바야스갈란트(Amarbayasgalant)를 여행한다면,アマルバヤスガラントのツアーの場合,如果游览阿玛巴亚斯加兰特,Если тур Амарбаясгалант
392,2,Амралтын газар,Resort,Жм амралт,Jm Resort,Сэлэнгэ,Selenge,Шаамар,Shaamar,50.1109,106.2015,88781705,https://www.dropbox.com/scl/fi/gqqgfvdth4vm4l8jzao4k/.jpg?rlkey=8wlbd7i4it68bjmaw5yv6ulvz&raw=1,제이엠리조트,JM リゾート,Jm度假村,Джм Резорт
393,2,Амралтын газар,Resort,Туж 89 амралт,Tuj89 Resort,Сэлэнгэ,Selenge,Шаамар,Shaamar,50.10986,106.2019,99740180,https://www.dropbox.com/scl/fi/b1gwb8b77b7x7w9amtwlk/89.jpg?rlkey=ywydajptpajfmpr6qjh1eulp0&raw=1,투즈89 리조트,トゥジ89 リゾート,图杰89度假村,Туй89 Курорт
394,1,Жуулчны бааз,Tourist_Camp,Тужэко кэмп,Tujeco Camp,Сэлэнгэ,Selenge,Шаамар,Shaamar,50.10174,106.22168,99169010,https://www.dropbox.com/scl/fi/3rktn0wru2akwasdnwbet/.jpg?rlkey=tklwgov8m3ykz99lvnk2a2hrb&raw=1,투제코 캠프,トゥジェコ キャンプ,图赫科营地,Лагерь Туджеко
395,2,Амралтын газар,Resort,Тужийн нарс 307,Tujiin Nars 307 Resort,Сэлэнгэ,Selenge,Шаамар,Shaamar,50.10514,106.21639,99104716,https://www.dropbox.com/scl/fi/7tm1o61qk3yluej3iz9ek/307.jpg?rlkey=p7ic52nawx9uvcw0qt8ofj8rm&raw=1,투지인 나스 307 리조트,トゥジイン ナーズ 307 リゾート,图金纳尔斯 307 度假村,Туджиин Нарс 307 Резорт
396,2,Амралтын газар,Resort,Найзууд амралт,Friends Resort,Сэлэнгэ,Selenge,Шаамар,Shaamar,50.08666,106.20056,,https://www.dropbox.com/scl/fi/4r1g6y2qxf1nfntz0trkg/.jpg?rlkey=lakscm2yiqtcp47dd3ccu6adz&raw=1,프렌즈 리조트,フレンズ リゾート,朋友度假村,Курорт друзей
397,1,Жуулчны бааз,Tourist_Camp,Сод кэмп,Sod Camp,Сэлэнгэ,Selenge,Шаамар,Shaamar,50.08687,106.20551,,,소드 캠프,ソッドキャンプ,草皮营,Дерновый лагерь
398,1,Жуулчны бааз,Tourist_Camp,Очир кэмп,Ochir Camp,Сэлэнгэ,Selenge,Шаамар,Shaamar,50.07786,106.19423,99124844,https://www.dropbox.com/scl/fi/j3jxskfkpu3ucyhmml6aq/.jpg?rlkey=kvvbdmktd07druewb7cx7q6hn&raw=1,오키르 캠프,オチルキャンプ,奥其尔营地,Лагерь Очир
399,1,Жуулчны бааз,Tourist_Camp,Хүдэр жуулчны бааз,Khuder Tourist Camp,Сэлэнгэ,Selenge,Хүдэр,Khuder,49.68704,107.39308,88333435,https://www.dropbox.com/scl/fi/05aanlreivxmghjgztpa3/.jpg?rlkey=hipzh3qeype5vlvcau6yk7dui&raw=1,쿠데르 관광 캠프,クーデル ツーリスト キャンプ,胡德旅游营地,Туристический лагерь Худер
400,3,Рашаан сувилал,Spa_Resort,Дархан анагаагч сувилал,Darkhan Anagaagch Sanatorium,Сэлэнгэ,Selenge,Сайхан,Saikhan,49.40279,105.90687,88061245,https://www.dropbox.com/scl/fi/bycp28th96id82w4bv7hb/.jpg?rlkey=wx8shc54296zu7b6v1jqo0p9k&raw=1,다르칸 아나가그치 요양소,ダルハン・アナガグチ療養所,达尔汗阿纳加奇疗养院,Санаторий Дархан Анагач
401,2,Амралтын газар,Resort,Тулт амралт,Tult Resort ,Сэлэнгэ,Selenge,Мандал,Mandal,48.81644,106.67358,80720700,,툴트 리조트,タルト リゾート,塔尔特度假村,Тульт Резорт
402,2,Амралтын газар,Resort,Жаргалан зуслан амралт ,Jargalan Camping Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.78821,106.7092,,https://www.dropbox.com/scl/fi/zjdwtyhvyiqsmv98drjq0/.jpg?rlkey=xn9adtkeojodcqs1ec01aw9sy&raw=1,자르갈란 캠핑 리조트,ジャルガラン キャンピング リゾート,贾格兰露营度假村,Кемпинг-курорт «Жаргалан»
403,1,Жуулчны бааз,Tourist_Camp,Ноён тур,Noyon Tour,Сэлэнгэ,Selenge,Мандал,Mandal,48.71134,106.71192,80362090,https://www.dropbox.com/scl/fi/yoqgod4x4i8svrmx8z9im/.jpg?rlkey=w5ghu6vprcmchlouoiyrrnjoa&raw=1,누아용 투어,ノヨンツアー,努瓦永之旅,Нойон Тур
404,1,Жуулчны бааз,Tourist_Camp,Хэлло Түнхэл гэр кэмп,Hello Tunkhel Ger Camp,Сэлэнгэ,Selenge,Мандал,Mandal,48.68782,106.76826,80734091,https://www.dropbox.com/scl/fi/ic3tpozw3jfunadxv0087/.jpg?rlkey=bvqmcbk6n2zz2278anuxbqmcz&raw=1,안녕 툰켈 게르 캠프,こんにちは、トゥンケルゲルキャンプ,你好，通克尔蒙古包营地,"Привет, лагерь Тунхель Гер"
405,1,Жуулчны бааз,Tourist_Camp,Түнхэл вүүдс гэр кэмп,Tunkhel Woods Ger Camp,Сэлэнгэ,Selenge,Мандал,Mandal,48.6854,106.77218,99858380,https://www.dropbox.com/scl/fi/g9u9vw7ie47v4gf1jw9cg/.jpg?rlkey=scwqhtfm4lxb5lk046csxyf57&raw=1,툰켈 우즈 게르 캠프,トゥンケル ウッズ ゲル キャンプ,通克尔伍兹蒙古包营地,Лагерь Танхель Вудс Гер
406,1,Жуулчны бааз,Tourist_Camp,Түнхэл тур ресорт,Tunkhel Tour Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.66398,106.76484,88094133,https://www.dropbox.com/scl/fi/42t7lx7stkmwq69it7hla/.jpg?rlkey=yocfbnxju3vm7ovi2odb7y8g4&raw=1,툰켈 투어 리조트,トゥンケル ツアー リゾート,通克尔旅游度假村,Тунхель Тур Резорт
407,2,Амралтын газар,Resort,Нарлаг түнхэл гэр бүл амралт,Narlag Tunkhel Family Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.64327,106.73857,9116 0631,https://www.dropbox.com/scl/fi/a4k8uguls164nwhfmxall/.jpg?rlkey=u1c4pxsp0ffcwnt5jcw9qyrqt&raw=1,날라그 툰켈 패밀리 리조트,ナルラグ トゥンケル ファミリー リゾート,纳拉格通克尔家庭度假村,Семейный курорт Нарлаг Тунхель
408,1,Жуулчны бааз,Tourist_Camp,Түнхэл зочид буудал,Tunkhel guest house,Сэлэнгэ,Selenge,Мандал,Mandal,48.64122,106.7554,99844844,https://www.dropbox.com/scl/fi/ne09dxwpww2zixwgzpa8l/.jpg?rlkey=vr84zx4pj3fsp57hm20mwoaeq&raw=1,툰켈 게스트하우스,トゥンケル ゲスト ハウス,通克尔旅馆,Гостевой дом Тунхель
409,2,Амралтын газар,Resort,Илч амралт,Ilch Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.64002,106.75887,89585595,https://www.dropbox.com/scl/fi/kxtq9rpmnbtr01fky7rt9/.jpg?rlkey=kqlkrxc89dxsrmu6nfumnlpbk&raw=1,일치 리조트,イルチ リゾート,伊尔奇度假村,Ильч Резорт
410,2,Амралтын газар,Resort,Түнхэл Хайрхан,Tunkhel Khairkhan,Сэлэнгэ,Selenge,Мандал,Mandal,48.63712,106.7552,80718149,https://www.dropbox.com/scl/fi/vafvulwpcqokmlbik8vju/.jpg?rlkey=lhz89vsm56lutlex2h5dacguc&raw=1,툰켈 카이르칸,トゥンケル・ハイルカン,通克尔·凯尔汗,Тунхель Хайрхан
411,1,Жуулчны бааз,Tourist_Camp,Шинэ амуу ресорт,Shine-Amuu Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.63192,106.75375,94102292,https://www.dropbox.com/scl/fi/e242bpavqafw7k6m0099v/.jpg?rlkey=7bwt88fdlojhos6jy2was00wb&raw=1,샤인아무 리조트,シャイン・アミュウ リゾート,闪耀阿姆度假村,Курорт Шайн-Амуу
412,1,Жуулчны бааз,Tourist_Camp,Зүрхэн кэмп,Zurkhen Camp,Сэлэнгэ,Selenge,Мандал,Mandal,48.63447,106.76854,80924429,https://www.dropbox.com/scl/fi/gv39rh508gb6epnokkhij/.png?rlkey=kvo27g3zwyegg654jxm4dgz6p&raw=1,주르켄 캠프,ズルケンキャンプ,祖尔肯营地,Лагерь Зурхен
413,1,Жуулчны бааз,Tourist_Camp,Янзтай Шовгор,Yanztai Shovgor,Сэлэнгэ,Selenge,Мандал,Mandal,48.62956,106.766,89047424,https://www.dropbox.com/scl/fi/elglmsxl4whwq857ckeq4/.jpg?rlkey=yp20opx44lj2ibur2smt8dils&raw=1,얀즈타이 쇼브고르,ヤンツタイ・ショブゴール,延兹泰·绍夫戈尔,Янзтай Шовгор
414,1,Жуулчны бааз,Tourist_Camp,Тогос хайрхан буудал,Togos Khairkhan Inn,Сэлэнгэ,Selenge,Мандал,Mandal,48.63262,106.77092,99088718,https://www.dropbox.com/scl/fi/7av8ir3whrqems50cfhi5/.jpg?rlkey=glrifvqn9p4sereucxw5nqe6r&raw=1,토고스 카이르칸 인,トーゴス ハイルカン イン,多哥斯凯尔汗旅馆,Тогос Хайрхан Инн
415,1,Жуулчны бааз,Tourist_Camp,Түнхэл жижиг байр түрээс,Tunkhel Tiny House Rent,Сэлэнгэ,Selenge,Мандал,Mandal,48.63222,106.77232,,,툰켈 타이니 하우스 렌트,トゥンケル タイニー ハウス レント,Tunkhel 小房子出租,Аренда крошечного дома Тунхель
416,1,Жуулчны бааз,Tourist_Camp,Гэгээ Түнхэл түрээсийн байшин,Gegee Tunkhel House Rent,Сэлэнгэ,Selenge,Мандал,Mandal,48.6309,106.77547,94174559,https://www.dropbox.com/scl/fi/ms4ouyx3tuup68goyntme/.jpg?rlkey=593dwuvzz6s5wzjeuy0pocxrq&raw=1,게지 툰켈 하우스 렌트,ゲゲ トゥンケル ハウス レント,Gegee Tunkhel 房屋出租,Джи Тунхел Дом Аренда
417,1,Жуулчны бааз,Tourist_Camp,Түнхэл Таван Эрдэнэ,Tunkhel Tavan Erdene,Сэлэнгэ,Selenge,Мандал,Mandal,48.63387,106.77717,89806362,https://www.dropbox.com/scl/fi/dgc3pj0br5r8k9ouqr6ib/.jpg?rlkey=zbyraevyy5jrv60v5o7lk693i&raw=1,툰켈 타반 에르덴,トゥンケル タヴァン エルデネ,通克尔·塔万·额尔德尼,Тунхель Таван Эрдэнэ
418,1,Жуулчны бааз,Tourist_Camp,Түнхэл хаус,Tunkhel House,Сэлэнгэ,Selenge,Мандал,Mandal,48.63086,106.78295,94118991,,툰켈 하우스,トゥンケル ハウス,通克尔楼,Дом Тунхеля
419,2,Амралтын газар,Resort,Түнхэл гэр бүлийн амралт,Tunkhel Family Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.63029,106.78336,99805985,,툰켈 패밀리 리조트,トゥンケル ファミリー リゾート,通克尔家庭度假村,Семейный курорт Тунхель
420,1,Жуулчны бааз,Tourist_Camp,Түнхэл нойрмог хөндий,Tunkhel sleepy hollow,Сэлэнгэ,Selenge,Мандал,Mandal,48.62811,106.7826,80362090,https://www.dropbox.com/scl/fi/ftauo2ymqyuo3dxg86b1e/.jpg?rlkey=1mro9a9fj5pl73bc5rkyhzpht&raw=1,툰켈 슬리피 할로우,トゥンケル スリーピー ホロウ,通克尔昏昏欲睡的空洞,Тунхель сонная лощина
421,2,Амралтын газар,Resort,Түнхэл титэм амралт,Tunkhel Titem Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.62338,106.75145,94524999,https://www.dropbox.com/scl/fi/j5r8heg0vbkb97e2oeowb/.jpg?rlkey=bo4q457ukgcnbn4ig4dbl9z7n&raw=1,툰켈 티템 리조트,トゥンケル ティテム リゾート,通克尔蒂特姆度假村,Тунхель Титем Резорт
422,2,Амралтын газар,Resort,Түнхэл амралт,Tunkhel Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.63756,106.78417,98112255,https://www.dropbox.com/scl/fi/p4ign8jv819x4pt33nsbw/.jpg?rlkey=0jewry20kml8o9v54ko16vmev&raw=1,툰켈 리조트,トゥンケル リゾート,通克尔度假村,Тунхель Резорт
423,2,Амралтын газар,Resort,Буянт амралт,Buynt Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.64075,106.79043,,,바인트 리조트,バイント リゾート,伯恩特度假村,Буйнт Резорт
424,2,Амралтын газар,Resort,Байгаль гэр амралт,Baigali Ger Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.64605,106.79795,,,바이갈리 게르 리조트,バイガリ ゲル リゾート,拜加利格尔度假村,Курорт Байгали Гер
425,1,Жуулчны бааз,Tourist_Camp,Мөнхийн гэгээ гэр кэмп,Munkhiin Gegee Ger camp,Сэлэнгэ,Selenge,Мандал,Mandal,48.67434,106.82757,88309197,,문키인 게게 게르 캠프,ムンキーン ゲゲ ゲル キャンプ,Munkhiin Gegee 蒙古包营地,Лагерь Мунхин Геге Гер
426,1,Жуулчны бааз,Tourist_Camp,Хуст Хужирт ресорт,Khust Khujirt Resort,Сэлэнгэ,Selenge,Мандал,Mandal,48.68139,106.83545,94831244,https://www.dropbox.com/scl/fi/ky2ejf54x1gjcl8wpxtkq/.jpg?rlkey=bjnvfd4j9gcpexgccd1bah14k&raw=1,후스트 쿠지르트 리조트,フースト ホジルト リゾート,胡斯特胡吉特度假村,Хуст Хужирт Резорт
427,2,Амралтын газар,Resort,Монгол ахуй амралт Түнх,Mongolian Household Tunkh ,Сэлэнгэ,Selenge,Мандал,Mandal,48.68464,106.84174,89043234,https://www.dropbox.com/scl/fi/o7b0nzeygx5bheee0e0vk/.jpg?rlkey=byy16dr7t8nm14u471vzfg36f&raw=1,몽골 가구 툰크,モンゴル家庭トゥンク,蒙古族家庭Tunkh,Монгольский бытовой тунх
428,1,Жуулчны бааз,Tourist_Camp,Шонхор зуслан,Shonkhor Camp,Сэлэнгэ,Selenge,Мандал,Mandal,48.67892,106.85755,9903 6028,https://www.dropbox.com/scl/fi/zryk8zhqsssnzyhtt5ipo/.jpg?rlkey=j1w5kc0xp8ajnh4agx448evm3&raw=1,숀코르 캠프,ションコールキャンプ,松克营地,Лагерь Шонхор
