№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Soum_name_mon,Soum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
83,1,Байгалийн үзэсгэлэнт газар,Уран тогоо уул,Uran Togoo Mountain,Булган,Bulgan,Хутаг-Өндөр,Khutag-Undur,48.997,102.735,"Уран, Тулга, Тогоо, Жалавч гэдэг дөрвөн унтарсан галт уулс оршдог. Хутаг-Өндөр сумын төвөөс өмнө зүгт 70 км зайтай оршино.","There are four extinct volcanoes: Uran, Tulga, Togoo, and Jalavch. They are located 70 km south of the center of Khutag-Ondur soum.",Nature/Боршоо хилийн боомт.jpg,,,,,,,,,
84,2,Түүхийн дурсгалт газар,Хар бухын балгас,Khar Bukh Ruin,Булган,Bulgan,Дашинчилэн,Dashinchilen,47.88758,103.89521,"Хар бухын голын өмнө хөвөөнд, Хадаасан толгойн зүүн хойно эртний хотын туурийг Хар бухын буюу Хадаасангийн балгас гэдэг. Дашинчилэн сумын төвөөс баруун хойд зүгт 13 км зайтай оршино.","On the banks of the Khar Bukh River, to the east of Khadaasan Tolgoi, is the site of an ancient city called Khar Bukh or Khadaasan Ruins. It is located 13 km northwest of the center of Dashinchilen soum.",Nature/Бошлой хад.jpg,,,,,,,,,
85,1,Байгалийн үзэсгэлэнт газар,Харгал нуур,Khargal Lake,Булган,Bulgan,Тэшиг,Teshik,49.92636,102.75219,Тэшиг сумын төвөөс зүүн зүгт 6 км зайд оршино.,It is located 6 km east of the center of Teshig soum.,Nature/Буган чулуу.jpg,,,,,,,,,
86,1,Байгалийн үзэсгэлэнт газар,Хөгнө тарна,Khugnu Tarna,Булган,Bulgan,Гурванбулаг,Gurvanbulag,47.46366,103.64047, Хөгнө-Тарна байгалийн цогцолборт газар нь 84390 га талбайтай. Хөгнөхаан уул нь Богд хаант монгол улсын үед төр шашины холбогдолтойгоор тахин шүтэж ирсэн дөрвөн хан уулын нэг нь байжээ.,"Khognuh-Tarna National Park covers an area of ​​84,390 hectares. Khognuh Khan Mountain was one of the four Khan Mountains that were worshipped as state and religious monuments during the Bogd Khanate Mongol Empire.",Nature/Буйр нуур.jpg,,,,,,,,,
87,2,Түүхийн дурсгалт газар,Цогтын цагаан балгас,Tsogt White Ruin,Булган,Bulgan,Дашинчилэн,Dashinchilen,48.02351,104.35167,"Дашинчилэн сумын төвөөс зүүн хойд зүгт 33 км, Чин толгойн балгаснаас 20 км зайтай оршино.",It is located 33 km northeast of the center of Dashinchilen soum and 20 km from the Chin Tolgoi ruins.,Nature/Булган уул.jpg,,,,,,,,,
88,2,Түүхийн дурсгалт газар,Чин толгойн балгас,Chin Tolgoi Ruin,Булган,Bulgan,Дашинчилэн,Dashinchilen,47.87548,104.2421, Энд эртний гэрэлт хөшөөний суурь хоёр том чулуун мэлхий бий бөгөөд олдсон зарим дээврийн ваар нь кидан бичигтэй байжээ.,"There are two large stone frogs at the base of an ancient light statue here, and some of the roof vases found had Khitan writing.",Nature/Бурхан буудай уул.jpg,,,,,,,,,
89,1,Байгалийн үзэсгэлэнт газар,Шарга нуур,Sharga Lake,Булган,Bulgan,Баян-Агт,Bayan-Agt,48.92894,101.95227,Шарга сумын төвөөс байруун өмнө зүгт 20 км зайтай оршино.,It is located 20 km south of the center of Sharga soum.,Nature/Бэрхийн уурхайн музей.jpg,,,,,,,,,
90,2,Түүхийн дурсгалт газар,Шивээт улааны дурсгал,Shiveet Ulaan ,Булган,Bulgan,Баян-Агт,Bayan-Agt,48.79829,102.00501,Түрэгийн Хожуу үеийн (690-744) Элетрес Хутлуга хааны дурсгал ,Monument to the Late Turkic Dynasty (690-744) Khan Eletres Khutluga,Nature/Бүрэнхаан уул.jpg,,,,,,,,,
91,2,Түүхийн дурсгалт газар,Шороон бумбагар,Shoroon Bumbagar,Булган,Bulgan,Баяннуур,Bayannuur,47.95931,104.55622,"2012 онд малтлага судалгаа явуулж эртний нүүдэлчдийн язгууртны иж бүрэн бунхант булшийг илрүүлсэн билээ. Тус олдворыг Улаан хэрэмийн Шороон бумбагарын дурсгал хэмээн нэрлэсэн бөгөөд эртний нүүдэлчдийн урлагийн галерей бүхий 1500 жилийн настай нэн чухал олдвор юм. Бунханы барилга муудаж үйрээгүй, бат бөх хэвээрээ үлдсэн ба дотор талд нь хүн явахад чөлөөтэй, чулуун таазтай, хавтгай чулуугаар ханыг нь хийж бүтээсэн байсан.","In 2012, excavations uncovered a complete mausoleum of an ancient nomadic nobleman. The find, called the Red Wall's Shoroon Bumbagar Monument, is a 1,500-year-old, important artifact that contains a gallery of ancient nomadic art. The structure of the tomb is intact, intact, and free for people to walk around inside, with a stone ceiling and flat stone walls.",Nature/Бөөнцагаан нуур.jpg,,,,,,,,,
92,1,Байгалийн үзэсгэлэнт газар,Элсэн тасархай,Elsen Tasarkhai,Булган,Bulgan,Рашаант,Rashaant,47.33459,103.67783,Рашаант сумын төвөөс баруун зүгт 20 км зайтай оршино.,It is located 20 km west of the center of Rashaant soum.,Nature/Вангийн цагаан уул.jpg,,,,,,,,,
93,3,Шашны дурсгалт газар,Эрдэнэ хамбын хийдийн туурь,Erdene Khamba Monastery Ruin,Булган,Bulgan,Рашаант,Rashaant,47.42575,103.69313, 1612 онд Монголын лам Эрдэнэ Цоржид зориулан байгуулагдсан бөгөөд 1937 онд коммунист дэглэмийн үед устгагдсан. ,It was founded in 1612 for the Mongolian monk Erdene Tsorji and was destroyed in 1937 during the communist regime.,Nature/Вандан аваргын хөшөө.jpg,,,,,,,,,
94,2,Түүхийн дурсгалт газар,Магсаржав баатрын дусрсгал ,A symbol of heroism Magsarjav hero,Булган,Bulgan,Хутаг-Өндөр,Khutag-Undur,49.39162,102.80444,Хутаг-Өндөр сумын төвөөс зүүн зүгт 6 км зайтай байна. ,,Nature/Галуутын хавцал.jpg,,,,,,,,,
95,4,Бусад,Аав хөшөө,Father Statue,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.32763,97.88825,Чандмань сумын төвөөс баруун зүгт 8 км зайтай Ботгон голын эрэгт оршино. ,"It is located on the banks of the Botgon River, 8 km west of the center of Chandman soum.",Nature/Ганга нуур.jpg,,,,,,,,,
96,1,Байгалийн үзэсгэлэнт газар,Аж богдын нуруу,Аj Bogd Mountain,Говь-Алтай,Govi-Altai,Алтай,Altai,44.80211,95.23946,"Монгол Алтайн нурууны салбар уул бөгөөд хамгийн өндөр оргил нь Хүрэн товон далайн төвшнөөс дээш 3802 метр өндөр. Аж богдын нурууны өврөөс Индэр, Гишүүнтэй, Их гол, ар талаас нь Урт, Дөрөлжийн голууд эх аван урсдаг. ","It is a branch of the Mongolian Altai Mountains, and its highest peak is Khuren Tovon, which is 3,802 meters above sea level. The Inder, Gishuuntei, and Ikh rivers originate from the foot of the Ajbogd Range, and the Urt and Dorolji rivers flow from the rear.",Nature/Гандан нуур.jpg,,,,,,,,,
97,1,Байгалийн үзэсгэлэнт газар,Алаг хайрхан уул,Alag Khairkhan Mountain,Говь-Алтай,Govi-Altai,Бугат,Bugat,45.57154,94.11714,Бугат сумын төвөөс 30 км зайтай далайн түвшнээс дээш 3738 метр өргөгдөн оршино. ,"It is located 3738 meters above sea level, 30 km from the center of Bugat soum.",Nature/Гашуунсухайт боомт.jpg,,,,,,,,,
98,3,Шашны дурсгалт газар,Арын хүрээний туурь,Aryn Monastery Ruin,Говь-Алтай,Govi-Altai,Жаргалан,Jargalant,46.85744,95.72878,Жаргалан сумын төвөөс баруун урд  зүгт 25 км зайтай оршино.,It is located 25 km southwest of the center of Jargalan soum.,Nature/Говийн их дархан цаазат газар А.jpg,,,,,,,,,
99,1,Байгалийн үзэсгэлэнт газар,Бигэр нуур,Biger Lake,Говь-Алтай,Govi-Altai,Бигэр,Biger,45.76243,97.17836,Бигэр сумын төвөөс хойд зүгт 4 км зайтай оршино.,It is located 4 km north of the center of Biger soum.,Nature/Гоожуурын хүрхрээ.jpg,,,,,,,,,
100,1,Байгалийн үзэсгэлэнт газар,Бурхан буудай уул,Burkhan Buudai Mountain,Говь-Алтай,Govi-Altai,Цогт,Tsogt,45.66768,96.73445,"Говь-Алтай аймгийн Бигэр, Цогт, Халиун сумдын нутагт орших өвөрмөц үзэсгэлэнт тогтоц бүхий, ноён оргил нь далайн түвшнээс дээш 3765 мерт өргөгдсөн мөнх цастай уул байдаг. ","Located in the Biger, Tsogt, and Khaliun soums of Gobi-Altai aimag, there is a uniquely beautiful mountain with eternal snow, its highest peak rising 3,765 meters above sea level.",Nature/Гурван зээрдийн агуй.jpg,,,,,,,,,
101,1,Байгалийн үзэсгэлэнт газар,Говийн их  дархан цаазат газар А,Great Gobi Strictly Protected Area A,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,43.252,97.44196,"Говийн Их Дархан Цаазат Газрын А хэсэг нь Монголын говь цөлийн экосистемийг хамгаалах, түүх, соёлын өвийг хадгалахад чухал үүрэгтэй, 4.6 сая га талбайг хамардаг.","Part A of the Gobi Desert is important for protecting the ecosystem of Mongolia's Gobi Desert and preserving its historical and cultural heritage, covering an area of ​​4.6 million hectares.",Nature/Гэгээн нуур.jpg,,,,,,,,,
102,4,Бусад,Гочоосүрэнгийн суварга,Gochoosuren Stupa,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.31666,97.85258,Чандмань сумын төвөөс баруун зүгт 11 км зайтай оршино.,It is located 11 km west of the center of Chandman soum.,Nature/Гэлэн хөшөө.jpg,,,,,,,,,
103,1,Байгалийн үзэсгэлэнт газар,Гэгээн нуур,Gegeen Lake,Говь-Алтай,Govi-Altai,Тайшир,Taishir,46.70391,96.76257,"Тайширын усан цахилгаан станцыг барих үед үүссэн 20 км урт, 10 км өргөн хиймэл нуур.","An artificial lake 20 km long and 10 km wide, created during the construction of the Taishir hydroelectric power station.",Nature/Гэнэнпил хатны дурсгал.jpg,,,,,,,,,
104,1,Байгалийн үзэсгэлэнт газар,Зоос хад,Zoos Rock,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.49216,98.23883,Чандмань сумын төвөөс зүүн хойд зүгт 42 км зайтай оршино.,It is located 42 km northeast of the center of Chandman soum.,Nature/Гүн нуур.jpg,,,,,,,,,
105,1,Байгалийн үзэсгэлэнт газар,Ихэс нуур,Ikhes Lake,Говь-Алтай,Govi-Altai,Дарви,Darwi,46.46125,94.06104,Ихэс нуурын зүүн эрэг дээр  Дарви сумын төв байдаг.,The center of Darvi soum is located on the eastern shore of Lake Ihes.,Nature/Гүрмийн нуур.jpg,,,,,,,,,
106,1,Байгалийн үзэсгэлэнт газар,Мазаалайн ус,Mazaalain Us,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,43.25734,97.33213,Эрдэнэ сумын төвөөс урд зүгт 230 км зайд Говийн их дархан цаазат газарт байна. ,"It is located 230 km south of the center of Erdene soum, in the Gobi National Park.",Nature/Гүрэмийн нуур.jpg,,,,,,,,,
107,1,Байгалийн үзэсгэлэнт газар,Монгол элс,Mongol Sand,Говь-Алтай,Govi-Altai,Хөхморьт,Khukhmorit,47.49862,95.07601,Хөх морьт сумын хойд талаар нийтдээ 215 гаруй км үргэлжилнэ.,The northern part of Khokh Morit soum extends for a total of more than 215 km.,Nature/Дельфинтэй хөшөө.jpg,,,,,,,,,
108,1,Байгалийн үзэсгэлэнт газар,Нарийн худаг,Nariin Khudag,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,44.81484,97.3287,Эрдэнэ сумын төвөөс баруун өмнө зүгт 57 км зайд оршино.,It is located 57 km southwest of the center of Erdene soum.,Nature/Дино парк.jpg,,,,,,,,,
109,3,Шашны дурсгалт газар,Номуун ханы хүрээний туурь,Nomuun Khan Monastery Ruin,Говь-Алтай,Govi-Altai,Бигэр,Biger,45.8068,97.00925,"Бигэр сумын төвөөс баруун хойд зүгт 17.5 км оршино. Засагт хан аймгийн Ёст засгийн хошуу, Итгэмжит засгийн хошуутай зах нийлж байв. Ардын дунд Бигэрийн Номун хан хутагт хэмээн алдаршчээ. ",It is located 17.5 km northwest of the center of Biger soum. It was a market town with Yost Khosh and Itgemjit Khosh of Zasagt Khan aimag. He was known among the people as Nomun Khan Khutugt of Biger.,Nature/Дорнод Монгол ДЦГ.jpg,,,,,,,,,
110,3,Шашны дурсгалт газар,Өлзийт булгийн хийдийн туурь ,Ulziit Bulag Monastery Ruin,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.46551,98.23848,Чандмань сумын төвөөс зүүн хойд зүгт 39 км зайтай оршино.,It is located 39 km northeast of the center of Chandman soum.,Nature/Дугана хад.jpg,,,,,,,,,
111,1,Байгалийн үзэсгэлэнт газар,Сутай хайрхан уул,Sutai Khairkhan Mountain,Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,46.621,93.581,"Төрийн тахилгат Сутай хайрхан уулын ихэнх нь Говь-Алтай аймгийн Тонхил сумын нутагт оршдог боловч цаад талаараа Ховд аймгийн Дарви, Цэцэг сумын нутагт хамаарах хайрхан юм. Ноён оргил Цаст богд нь д.т.д 4234 метр өндөр бөгөөд Сутай хайрхан уул 60 км сунаж тогтсон. ","Most of the state-sanctioned Sutai Khairkhan Mountain is located in the territory of Tonkhil soum of Gobi-Altai aimag, but the rest of the mountain belongs to the territories of Darvi and Tsetseg soums of Khovd aimag. The peak is Tsast Bogd, which is 4234 meters above sea level, and Sutai Khairkhan Mountain stretches for 60 km.",Nature/Дунд сайхан сайхан уул.jpg,,,,,,,,,
112,1,Байгалийн үзэсгэлэнт газар,Сухайтын булаг,Sukhait Spring,Говь-Алтай,Govi-Altai,Цогт,Tsogt,45.0792,96.64386,Цогт сумын төвөөс өмнө зүгт 40 км зайтай оршино.,It is located 40 km south of the center of Tsogt soum.,Nature/Дуурилаг нарсны хүннүгийн булш.jpg,,,,,,,,,
113,1,Байгалийн үзэсгэлэнт газар,Тайгам нуур,Taigam Lake,Говь-Алтай,Govi-Altai,Дэлгэр,Delger,46.36218,97.40159,Тайгам нуур далайн түвшнээс дээш 1780 метр өндөрт байдаг. Тус нуурын баруун өмнө эрэгт Дэлгэр сумын төв байрладаг. ,"Lake Taigam is located at an altitude of 1,780 meters above sea level. The center of Delger soum is located on the southwestern shore of the lake.",Nature/Дуурлиг нарс хүннүгийн булш.jpg,,,,,,,,,
114,4,Бусад,Тайширын усан цахилгаан станц,Taishir Hydropower Station,Говь-Алтай,Govi-Altai,Тайшир,Taishir,46.69481,96.6654,Тайшир сумын төвөөс зүүн урд зүгт 13 км зайтай оршино.,It is located 13 km southeast of the center of Taishir soum.,Nature/Дуут нуур.jpeg,,,,,,,,,
115,1,Байгалийн үзэсгэлэнт газар,Тонхил нуур,Tonkhil Lake,Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,46.18285,93.90512,Тонхил сумаас өмнө зүгт 16 км зайтай оршино.,It is located 16 km south of Tonkhil soum.,Nature/Дэл уулын хадны сүг зураг.jpg,,,,,,,,,
116,1,Байгалийн үзэсгэлэнт газар,Утаг нуур,Utag Lake,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.23655,98.34225,Чандмань сумын төвөөс зүүн урд зүгт 30 км зайтай оршино. ,It is located 30 km southeast of the center of Chandman soum.,Nature/Дэлгэрийн хийд.jpeg,,,,,,,,,
117,1,Байгалийн үзэсгэлэнт газар,Харандаа хад,Pencil Rock,Говь-Алтай,Govi-Altai,Тайшир,Taishir,46.69488,96.58191,Тайшир сумын төвөөс зүүн урд зүгт 5 км зайтай оршино.,It is located 5 km southeast of the center of Taishir soum.,Nature/Дэлгэрхаан уул.jpg,,,,,,,,,
118,1,Байгалийн үзэсгэлэнт газар,Хасагт хайрхан уул,Khasagt Kharkhan Mountain,Говь-Алтай,Govi-Altai,Шарга,Sharga,46.719,95.858,"Хасагт хайрхан уул нь Говь-Алтай аймгийн  Шарга, Жаргалан сумдын нутагт орших, далайн түвшнээс дээш 3578 метр өндөртэй, дархан цаазат газар юм.","Khasagt Khairkhan Mountain is a protected area located in the Sharga and Jargalan soums of Gobi-Altai aimag, at an altitude of 3,578 meters above sea level.",Nature/Дэлгэрхангай уул.jpg,,,,,,,,,
119,1,Байгалийн үзэсгэлэнт газар,Хөлмийн нуур,Khulmiin Lake,Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,46.18564,93.54615,Тонхил сумаас баруун өмнө зүгт 34 км зайтай оршино.,It is located 34 km southwest of Tonkhil soum.,Nature/Дэлүүн болдог Биндэр.jpg,,,,,,,,,
120,2,Түүхийн дурсгалт газар,Хөшөө чулуу,Khushuu Chuluu ,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.30794,97.96203,Чандмань сумын төвөөс баруун өмнө зүгт 3.4 км зайтай оршино.,It is located 3.4 km southwest of the center of Chandman soum.,Nature/Дэмчогийн хийд.jpg,,,,,,,,,
121,1,Байгалийн үзэсгэлэнт газар,Цэцэг нуур,Tsetseg Lake,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,45.19364,97.54099,Эрдэнэ сумын төвөөс баруун хойд зүгт 18 км зайд оршино.,It is located 18 km northwest of the center of Erdene soum.,Nature/Дөрвөлжин булш.jpg,,,,,,,,,
122,1,Байгалийн үзэсгэлэнт газар,Шаргын цагаан нуур,Shargyn Tsagaan Lake,Говь-Алтай,Govi-Altai,Шарга,Sharga,46.26585,95.01069,Шарга сумаас баруун зүгт 25 км зайтай оршино.,It is located 25 km west of Sharga soum.,Nature/Дөргөн станц.jpg,,,,,,,,,
123,1,Байгалийн үзэсгэлэнт газар,Эрээн нуур,Ereen Lake,Говь-Алтай,Govi-Altai,Жаргалан,Jargalant,47.33629,95.7625,Жаргалан сумын төвөөс хойд зүгт 45 км зайтай оршино.,It is located 45 km north of the center of Jargalan soum.,Nature/Ерэн баатрын хөшөө.jpg,,,,,,,,,
124,1,Байгалийн үзэсгэлэнт газар,Ээж хайрхан уул,Eej Khairkhan Mountain,Говь-Алтай,Govi-Altai,"Цогт,Алтай","Tsogt, Altai",44.93638,96.21833,"Цогт , Алтай сумдын хилийн заагт далайн түвшнээс дээш 2274 метр өргөгдсөн ноён оргил бүхий байгалийн өвөрмөц тогтоцтой уул юм. Баянтоорой багийн төвөөс баруун зүгт 45 км зайтай орнино.",It is a unique natural mountain with a peak of 2274 meters above sea level on the border of Tsogt and Altai soums. It is located 45 km west of the center of Bayantoojoo.,Nature/Ерөөгийн халуун рашаан1.jpg,,,,,,,,,
125,3,Шашны дурсгалт газар,Хонгорын хүрээний туурь,Ruins of Khongor Monastery,Говь-Алтай,Govi-Altai,Жаргалан,Jargalan,46.82147,95.98906,Жаргалан сумын төвөөс зүүн өмнө зүгт 28 км зайтай оршино.,It is located 28 km southeast of the center of Jargalan soum.,Nature/Жаргалантын буган хөшөө.jpg,,,,,,,,,
126,3,Шашны дурсгалт газар,Вандан дашилин хүрээний туурь,Ruins of Vandan Dashiling Monastery,Говь-Алтай,Govi-Altai,Баян-Уул,Bayan-Uul,46.8663,95.4549,Баян-Уул сумын төвөөс зүүн өмнө зүгт 28.5 км зайтай оршино.,It is located 28.5 km southeast of the center of Bayan-Uul soum.,Nature/Загастайн даваа.jpg,,,,,,,,,
127,3,Шашны дурсгалт газар,Арын хүрээний туурь,Ruins of Aryn Monastery,Говь-Алтай,Govi-Altai,Жаргалан,Jargalan,46.85714,95.72871,Жаргалан сумын төвөөс баруун өмнө зүгт 26 км зайтай оршино.,It is located 26 km southwest of the center of Jargalan soum.,Nature/Задгай театр.jpg,,,,,,,,,
128,3,Шашны дурсгалт газар,Бичигт,Bichigt,Говь-Алтай,Govi-Altai,Баян-Уул,Bayan-Uul,47.10289,95.0785,Баян-Уул сумын төвөөс баруун хойд зүгт 16 км зайтай оршино.,It is located 16 km northwest of the center of Bayan-Uul soum.,Nature/Замын-Үүд боомт.jpg,,,,,,,,,
129,1,Байгалийн үзэсгэлэнт газар,Сангийн далай нуур,Sangiin Dalai Lake,Говь-Алтай,Govi-Altai,Хөх морьт,Khukhmorit,47.40732,94.95572,Хөх морьт сумын төвөөс зүүн зүгт 33 км зайтай Монгол элсний чанх өмнө оршино.,"It is located 33 km east of the center of Khokh Moryt soum, just before the Mongolian Els.",Nature/Зоргол хайрхан.jpg,,,,,,,,,
130,1,Байгалийн үзэсгэлэнт газар, Хасагт хайрхан уул,Khasagt Khairkhan Mountain,Говь-Алтай ,Govi-Altai,Жаргалан,jargalan,46.78919,95.80084,"Жаргалан сумын төвөөс баруун урд зүгт 25 км зайтай оршино. Далайн түвшнээс дээш 3578 меэр өргөгсөн байна,","This mountain, located 25 km southwest of the center of Jargalan soum, rises 3,578 meters above sea level.",Nature/Зотол хан уул.jpg,,,,,,,,,
131,1,Байгалийн үзэсгэлэнт газар,Чойрын богд уул,Choiryn Bogd Mountain,Говьсүмбэр,Govisumber,Сүмбэр,Sumber,46.238,108.785,"Далайн түвшнээс дээш 1678 метр оргил бүхий Чойрын богд уул Говьсүмбэр, Дорноговь аймгийн хил дамнан байршина. Сүмбэр сумын төвөөс зүүн өмнө зүгт 38 км зайд оршино. ","Choirin Bogd Mountain, with a peak of 1,678 meters above sea level, is located on the border of Govisumber and Dornogovi aimags. It is located 38 km southeast of the center of Sumber soum.",Nature/Зулганай баян бүрд.JPG,,,,,,,,,
132,4,Бусад,Нарантолгойн худаг,Narantolgoin Khudag,Дархан-Уул,Darkhan-Uul,Дархан,Darkhan,49.48538,105.95101,Дархан сумын нутагт оршино.,It is located in Darkhan soum.,Nature/Идэр гол.jpg,,,,,,,,,
133,1,Байгалийн үзэсгэлэнт газар,Зуун найман  агуй,108 Cave,Дорноговь,Dornogovi,Өргөн,Urgun,44.61792,110.26746,Өргөн сумын баруун өмнө зүгт 45 км зайтай оршино.  ,It is located 45 km southwest of Urgun soum.,Nature/Их  хуралдай гэр хөшөө.jpg,,,,,,,,,
134,1,Байгалийн үзэсгэлэнт газар,Их нарт уул,Ikh Nart Mountain,Дорноговь,Dornogovi,Даланжаргалан,Dalanjargalan,45.72235,108.64579,Даланжаргалан сумын төвөөс баруун өмнө зүгт 44.5 км зайтай оршино. ,It is located 44.5 km southwest of the center of Dalanjargalan soum.,Nature/Их богд уул.jpg,,,,,,,,,
135,3,Шашны дурсгалт газар,Хамарын хийд,Khamar Monastery,Дорноговь,Dornogovi,Сайншанд,Sainshand,44.59737,110.27338,Сайншанд сумаас зүүн өмнө зүгт 36 км зайтай оршино.,It is located 36 km southeast of Sainshand soum.,Nature/Их бурхант.jpg,,,,,,,,,
136,1,Байгалийн үзэсгэлэнт газар,Хар уул,Khar Mountain,Дорноговь,Dornogovi,Өргөн,Urgun,44.69225,110.04438,Сайншанд сумаас баруун өмнө зүгт 42 км зайтай оршино.,It is located 42 km southwest of Sainshand soum.,Nature/Их газрын чулуу.jpeg,,,,,,,,,
137,1,Байгалийн үзэсгэлэнт газар,Хэцүү тээгийн өрх агуй,Khetsuu Teeg Urkh Cave,Дорноговь,Dornogovi,Айраг,Airag,45.33916,108.7519,Айраг сумын төвөөс зүүн өмнө зүгт 75 км зайтай оршино.,It is located 75 km southeast of the center of Airag soum.,Nature/Их гэр Оюу толгой.jpg,,,,,,,,,
138,1,Байгалийн үзэсгэлэнт газар,Цагаан дэл агуй,Tsagaan Del Cave,Дорноговь,Dornogovi,Айраг,Airag,45.62551,109.10707,Айраг сумын төвөөс баруун урд зүгт 26 км зайтай оршино.,It is located 26 km southwest of the center of Airag soum.,Nature/Их тэнгэрийн амны хадны зураг.jpg,,,,,,,,,
139,1,Байгалийн үзэсгэлэнт газар,Цонжийн чулуу,Tsonjiin Rock,Дорноговь,Dornogovi,Дэлгэрэх,Delgerekh,45.98263,111.4363,Дэлгэрэх сумын төвөөс зүүн хойд зүгт 29 км зайтай оршино.,It is located 29 km northeast of the center of Delgereh soum.,Nature/Их уул хайрхан.jpg,,,,,,,,,
140,1,Байгалийн үзэсгэлэнт газар,Эргэлийн зоо,Ergeliin Zoo,Дорноговь,Dornogovi,Хатанбулаг,Khatanbulag,43.31536,108.92646,"Эргэлийн зоо нь Дорноговь аймгийн Хатанбулаг сумын нутагт орших байгалийн өвөрмөц тогтоцтой, палеонтологийн олдвор ихтэй газар юм. Хатанбулаг сумын төвөөс баруун хойд зүгт 28 км зайтай оршино.",Ergel Zoo is a unique natural site with a rich collection of paleontological finds in the Khatanbulag soum of Dornogovi aimag. It is located 28 km northwest of the center of Khatanbulag soum.,Nature/Их хөшөөт Кульчурын гэрэлт хөшөө.jpg,,,,,,,,,
141,3,Шашны дурсгалт газар,Угтамын хийд,Ugtam Monastery,Дорнод,Dornod,Баяндун,Bayandun,49.28652,113.76981,Баяндун сумын төвөөс зүүн хойд зүгт 38 км зайтай оршино.,It is located 38 km northeast of the center of Bayandun soum.,Nature/Ихэс нуур.jpg,,,,,,,,,
142,2,Байгалийн үзэсгэлэнт газар,Хөх нуур,Khukh Lake,Дорнод,Dornod,Чойбалсан,Choibalsan,49.52508,115.58288,Далайн түвшнээс дээш 565 метр өндөрт орших Монгол улсын хамгийн нам дор газар,"The lowest point in Mongolia, at 565 meters above sea level",Nature/Ишгэнт нуур.jpg,,,,,,,,,
143,4,Бусад,Алтач,Altach,Дорнод,Dornod,Цагаан-Овоо,Tsagaan-Ovoo,48.57129,113.55958,Цагаан-Овоо сумаас зүүн зүгт 26 км зайтай Алтачийн бүрд гэх газар алтан тэрэг булсан гэх домог бүхий газар юм.,"Altachi Burd, located 26 km east of Tsagaan-Ovoo soum, is a place where a legend says that a golden chariot was buried.",Nature/Культегины хөшөө.JPG,,,,,,,,,
144,1,Байгалийн үзэсгэлэнт газар,Ар сүмийн хоолой,Ar Sumiin Khooloi,Дорнод,Dornod,Халхгол,Khalkhgol,46.876,119.753,"Хянганы нурууны ойт хээрээс Төв Азийн хуурай хээрт шилжих шилжилтийн онцлогийг харуулсан Нөмрөгийн дархан цаазат газрын жижиг гол горхины татмууд, бургасан шугуйт хөндий, ой бүхий бэсрэг уулс, уулс хоорондын нуга, намгархаг газар, элсэн манхан бүхий дов толгод, дэнж маягийн тал, нугачаануудтай байгалийн гайхамшигт тогтоц бүхий газар юм.","The Nomruk Reserve, which represents the transition from the forest-steppe of the Hyangan Mountains to the dry steppe of Central Asia, is a place of magnificent natural formations with small river valleys, willow-covered valleys, forested lowlands, intermountain meadows, wetlands, sand dune hills, terraced plains, and meadows.",Nature/Ламтын хүн чулуу.jpeg,,,,,,,,,
145,3,Шашны дурсгалт газар,Ар хамбын хийдийн туурь,Ar Khambyn Monastery Ruin,Дорнод,Dornod,Матад,Mathad,47.05824,115.05824,Матад сумын төвөөс баруун хойд 39.5 км зайтай оршино.,It is located 39.5 km northwest of the center of Matad soum.,Nature/Ламын гэгээний хийд.jpg,,,,,,,,,
146,2,Түүхийн дурсгалт газар,Арслан хадны зураг,Arslan Khad,Дорнод,Dornod,Баяндун,Bayandun,49.05383,113.06099,Баяндун сумын төвөөс баруун урд зүгт 50 гаруй км зайтай оршино. ,It is located more than 50 kilometers southwest of the center of Bayandun soum.,Nature/Лигийн цагаан агуй.jpg,,,,,,,,,
147,1,Байгалийн үзэсгэлэнт газар,Баян хангай,Bayan Khangai,Дорнод,Dornod,Матад,Mathad,46.86662,115.23547,Матад сумын төвөөс баруун өмнө зүгт 16 км зайтай оршино.,It is located 16 km southwest of the center of Matad soum.,Nature/Ловончомбын агуй.jpg,,,,,,,,,
